objectID,date,old_date,unconverted_date,weekday,unixtimestamp,batch,noinbatch,contents,sender,senderimgurl,textimgurl,notes
9979606,8/14/2016 16:27,8/14/2016 16:27,8/14/2016 21:27,Sunday,1471192075,Ron Johnson,3902,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979605,8/14/2016 17:56,8/14/2016 17:56,8/14/2016 22:56,Sunday,1471197390,Ron Johnson,3903,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979604,8/14/2016 18:34,8/14/2016 18:34,8/14/2016 23:34,Sunday,1471199676,Ron Johnson,3904,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979603,8/15/2016 5:29,8/15/2016 5:29,8/15/2016 10:29,Monday,1471238995,Ron Johnson,3905,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979602,8/15/2016 5:41,8/15/2016 5:41,8/15/2016 10:41,Monday,1471239671,Ron Johnson,3906,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979601,8/15/2016 5:48,8/15/2016 5:48,8/15/2016 10:48,Monday,1471240122,Ron Johnson,3907,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979600,8/15/2016 5:51,8/15/2016 5:51,8/15/2016 10:51,Monday,1471240305,Ron Johnson,3908,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979599,8/15/2016 6:15,8/15/2016 6:15,8/15/2016 11:15,Monday,1471241701,Ron Johnson,3909,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979598,8/15/2016 6:17,8/15/2016 6:17,8/15/2016 11:17,Monday,1471241823,Ron Johnson,3910,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979597,8/15/2016 6:17,8/15/2016 6:17,8/15/2016 11:17,Monday,1471241848,Ron Johnson,3911,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
